Year,Data Item,Value
2017,"ALMONDS, UTILIZED, SHELLED - YIELD, MEASURED IN LB / ACRE",2200
2016,"ALMONDS, UTILIZED, SHELLED - YIELD, MEASURED IN LB / ACRE",2210
2015,"ALMONDS, UTILIZED, SHELLED - YIELD, MEASURED IN LB / ACRE",2000
2014,"ALMONDS, UTILIZED, SHELLED - YIELD, MEASURED IN LB / ACRE",2010
2013,"ALMONDS, UTILIZED, SHELLED - YIELD, MEASURED IN LB / ACRE",2280
2012,"ALMONDS, UTILIZED, SHELLED - YIELD, MEASURED IN LB / ACRE",2310
2011,"ALMONDS, UTILIZED, SHELLED - YIELD, MEASURED IN LB / ACRE",2540
2010,"ALMONDS, UTILIZED, SHELLED - YIELD, MEASURED IN LB / ACRE",2220
2009,"ALMONDS, UTILIZED, SHELLED - YIELD, MEASURED IN LB / ACRE",1960
2008,"ALMONDS, UTILIZED, SHELLED - YIELD, MEASURED IN LB / ACRE",2400
2007,"ALMONDS, UTILIZED, SHELLED - YIELD, MEASURED IN LB / ACRE",2170